epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9016,3.3106,84.0771,0.87168,0.329,0.08011,0.07686,0.02505,2.93026,43.5395,0.73492,0.000660767,0.000660767,0.000660767
2,23.8871,3.54616,25.614,0.88423,0.05418,0.07184,0.00681,0.00175,3.37518,25.1108,0.80429,0.00130115,0.00130115,0.00130115
3,34.2412,3.62855,11.9603,0.86506,0.17409,0.15411,0.04436,0.00994,3.51814,5.48413,0.77674,0.00191513,0.00191513,0.00191513
4,44.5284,3.53854,5.83024,0.85104,0.27039,0.19796,0.09789,0.02796,2.79028,3.0865,0.7092,0.0018812,0.0018812,0.0018812
5,54.9661,3.36608,4.32866,0.83829,0.27053,0.23059,0.11732,0.03584,2.93581,3.34662,0.75289,0.0018416,0.0018416,0.0018416
6,65.2778,3.33525,3.74114,0.84423,0.28816,0.19889,0.11378,0.03713,3.07145,2.8906,0.73669,0.001802,0.001802,0.001802
7,75.7312,3.19535,3.21752,0.83078,0.22845,0.18308,0.08765,0.03038,3.05994,3.95698,0.76983,0.0017624,0.0017624,0.0017624
8,86.1423,3.14965,3.08306,0.83994,0.29435,0.23175,0.13672,0.04562,2.9231,3.04947,0.75856,0.0017228,0.0017228,0.0017228
9,96.6299,3.12599,2.8154,0.83018,0.29749,0.27231,0.13769,0.04993,2.8079,3.07902,0.76224,0.0016832,0.0016832,0.0016832
10,107.104,2.97537,2.86125,0.82675,0.25785,0.26072,0.12019,0.04844,2.67094,3.1926,0.74957,0.0016436,0.0016436,0.0016436
11,117.295,2.9711,2.67085,0.82963,0.28098,0.23523,0.14979,0.06513,2.69341,2.98408,0.7511,0.001604,0.001604,0.001604
12,127.656,2.94405,2.72386,0.83297,0.33808,0.26419,0.13392,0.05175,2.74794,2.84295,0.75187,0.0015644,0.0015644,0.0015644
13,137.921,2.93892,2.66263,0.82699,0.2917,0.292,0.1328,0.05051,2.77256,3.25149,0.75626,0.0015248,0.0015248,0.0015248
14,148.288,2.98675,2.55803,0.82426,0.29811,0.25956,0.13304,0.051,2.69703,2.7518,0.74919,0.0014852,0.0014852,0.0014852
15,158.428,2.87376,2.5012,0.8237,0.29986,0.24466,0.13302,0.04759,2.82069,2.83405,0.75345,0.0014456,0.0014456,0.0014456
16,168.641,2.83114,2.4801,0.83148,0.3051,0.22943,0.1108,0.03443,2.98647,2.92775,0.75172,0.001406,0.001406,0.001406
17,178.915,2.75834,2.34051,0.823,0.29557,0.27115,0.15201,0.07083,2.54496,2.87352,0.74697,0.0013664,0.0013664,0.0013664
18,189.345,2.83625,2.41932,0.81485,0.28796,0.22943,0.11767,0.0436,2.78418,3.42682,0.7505,0.0013268,0.0013268,0.0013268
19,199.549,2.88117,2.38551,0.81988,0.31207,0.27439,0.13434,0.05294,2.67356,2.84651,0.74957,0.0012872,0.0012872,0.0012872
20,210.028,2.75309,2.36203,0.81813,0.28973,0.29548,0.12794,0.05248,2.6509,4.53481,0.74956,0.0012476,0.0012476,0.0012476
21,220.223,2.78309,2.31838,0.81909,0.28377,0.25145,0.12248,0.04287,2.84667,2.89812,0.75279,0.001208,0.001208,0.001208
22,230.366,2.73834,2.28622,0.81818,0.28433,0.25492,0.14013,0.05549,2.73401,2.70628,0.74781,0.0011684,0.0011684,0.0011684
23,240.561,2.73919,2.30427,0.82355,0.26195,0.25252,0.12095,0.0508,2.62677,3.11326,0.74827,0.0011288,0.0011288,0.0011288
24,250.807,2.70881,2.14254,0.81182,0.31209,0.26188,0.13106,0.06076,2.54088,2.77537,0.74303,0.0010892,0.0010892,0.0010892
25,261.095,2.6986,2.15704,0.81665,0.30464,0.2781,0.1352,0.05752,2.59089,2.68562,0.74766,0.0010496,0.0010496,0.0010496
26,271.527,2.74508,2.11746,0.81627,0.31028,0.292,0.14826,0.0654,2.54472,2.92491,0.74856,0.00101,0.00101,0.00101
27,281.821,2.69939,2.10206,0.81147,0.30866,0.28299,0.14972,0.07064,2.47037,2.85337,0.74573,0.0009704,0.0009704,0.0009704
28,292.067,2.66904,2.15221,0.82221,0.31809,0.292,0.15466,0.07458,2.45353,2.6691,0.74633,0.0009308,0.0009308,0.0009308
29,302.466,2.63739,2.10468,0.80906,0.27109,0.25724,0.12873,0.05788,2.54195,2.74606,0.74363,0.0008912,0.0008912,0.0008912
30,312.685,2.6864,2.07395,0.81667,0.26876,0.22943,0.11461,0.05201,2.55751,2.96827,0.75087,0.0008516,0.0008516,0.0008516
31,322.963,2.6058,1.96955,0.80934,0.31012,0.27191,0.14621,0.06836,2.42011,2.75574,0.74446,0.000812,0.000812,0.000812
32,333.454,2.66973,2.09141,0.81401,0.28638,0.24681,0.12542,0.05373,2.52177,2.70307,0.74344,0.0007724,0.0007724,0.0007724
33,343.642,2.71154,2.09696,0.81036,0.33101,0.22364,0.13644,0.06804,2.42188,2.63935,0.74404,0.0007328,0.0007328,0.0007328
34,353.886,2.59697,2.04658,0.8091,0.32746,0.27578,0.13653,0.06407,2.4019,2.52093,0.74618,0.0006932,0.0006932,0.0006932
35,364.062,2.5689,1.90458,0.80044,0.322,0.2445,0.13672,0.06573,2.39331,2.43054,0.74142,0.0006536,0.0006536,0.0006536
