epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1025,1.92457,1.66155,0.98197,0.34806,0.45303,0.18626,0.12077,1.67081,1.86529,0.92605,0.000660767,0.000660767,0.000660767
2,18.2198,1.71673,1.19608,0.91808,0.34669,0.46683,0.18905,0.12745,1.51689,2.145,0.91088,0.00130115,0.00130115,0.00130115
3,26.3568,1.69937,1.16077,0.9034,0.34917,0.47727,0.19698,0.1239,1.61524,2.59412,0.90987,0.00191513,0.00191513,0.00191513
4,34.157,1.65715,1.12959,0.89943,0.3525,0.47288,0.19934,0.13607,1.44641,2.48239,0.88633,0.0018812,0.0018812,0.0018812
5,42.1174,1.60276,1.09475,0.89402,0.35292,0.47988,0.20386,0.1412,1.41464,2.62809,0.8823,0.0018416,0.0018416,0.0018416
6,49.9013,1.55008,1.05114,0.8892,0.35169,0.47668,0.2054,0.13829,1.45351,2.61993,0.8816,0.001802,0.001802,0.001802
7,57.5238,1.55671,1.0542,0.88714,0.35475,0.47896,0.20412,0.13992,1.39091,2.26869,0.87867,0.0017624,0.0017624,0.0017624
8,65.2511,1.51649,1.02356,0.88631,0.35221,0.4762,0.21449,0.1465,1.37768,2.44943,0.87481,0.0017228,0.0017228,0.0017228
9,73.2592,1.50384,1.01269,0.88253,0.35431,0.4786,0.20879,0.13672,1.45366,2.69572,0.87755,0.0016832,0.0016832,0.0016832
10,80.9802,1.48421,1.00085,0.88011,0.35237,0.47766,0.20899,0.14258,1.37168,2.29672,0.87731,0.0016436,0.0016436,0.0016436
11,88.8159,1.47968,0.98976,0.87844,0.35178,0.48277,0.22649,0.15469,1.3376,2.46051,0.86923,0.001604,0.001604,0.001604
12,96.4972,1.43239,0.96444,0.87419,0.35447,0.48273,0.22803,0.15458,1.31716,2.22764,0.86707,0.0015644,0.0015644,0.0015644
13,104.297,1.44061,0.96665,0.875,0.35448,0.48432,0.22969,0.1572,1.32953,2.48919,0.86964,0.0015248,0.0015248,0.0015248
14,112.084,1.42438,0.94875,0.87319,0.35081,0.49314,0.23406,0.15928,1.29868,2.10045,0.86317,0.0014852,0.0014852,0.0014852
15,119.726,1.41914,0.92718,0.87196,0.35333,0.49487,0.24163,0.16612,1.296,2.37064,0.8645,0.0014456,0.0014456,0.0014456
16,127.573,1.38985,0.91599,0.86947,0.34942,0.50303,0.24689,0.16924,1.25339,2.35116,0.85657,0.001406,0.001406,0.001406
17,135.318,1.37431,0.907,0.86484,0.35165,0.50095,0.24165,0.16355,1.29238,2.22509,0.86668,0.0013664,0.0013664,0.0013664
18,142.937,1.39322,0.91481,0.86549,0.34946,0.50655,0.24952,0.1704,1.24095,2.35875,0.8524,0.0013268,0.0013268,0.0013268
19,150.818,1.40445,0.89938,0.86642,0.34863,0.49462,0.24124,0.1526,1.42304,2.15142,0.87046,0.0012872,0.0012872,0.0012872
20,158.399,1.37127,0.8813,0.86201,0.3508,0.5136,0.25574,0.17463,1.23389,2.19604,0.85275,0.0012476,0.0012476,0.0012476
21,166.037,1.38223,0.8893,0.86347,0.34831,0.51564,0.25374,0.1717,1.24183,2.25452,0.85162,0.001208,0.001208,0.001208
22,173.542,1.36199,0.87358,0.86001,0.34619,0.53307,0.26379,0.17765,1.21748,2.24451,0.84631,0.0011684,0.0011684,0.0011684
23,181.213,1.34499,0.86704,0.85861,0.34674,0.5285,0.26099,0.17631,1.24032,2.3988,0.84942,0.0011288,0.0011288,0.0011288
24,188.926,1.34384,0.8648,0.85775,0.35184,0.51115,0.26094,0.17856,1.20397,2.52675,0.84293,0.0010892,0.0010892,0.0010892
25,196.558,1.32648,0.8546,0.85686,0.34888,0.53224,0.26412,0.17921,1.22144,2.45681,0.84804,0.0010496,0.0010496,0.0010496
26,204.284,1.33084,0.84568,0.85686,0.34604,0.53151,0.26598,0.18104,1.19535,2.21543,0.84188,0.00101,0.00101,0.00101
27,211.996,1.3213,0.84364,0.85238,0.347,0.53784,0.26858,0.18113,1.21408,2.22917,0.84292,0.0009704,0.0009704,0.0009704
28,219.717,1.32988,0.83635,0.85449,0.34826,0.55589,0.27606,0.18788,1.18749,2.2806,0.84293,0.0009308,0.0009308,0.0009308
29,227.378,1.31208,0.83501,0.85195,0.34868,0.54413,0.27258,0.18664,1.18414,2.24902,0.8399,0.0008912,0.0008912,0.0008912
