epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6373,0.78304,0.61027,0.82342,0.72995,0.66683,0.68525,0.4942,0.63177,0.40977,0.80862,0.000554435,0.000554435,0.000554435
2,75.5214,0.68757,0.3991,0.80825,0.77275,0.71057,0.73292,0.49952,0.62787,0.39184,0.80912,0.00110901,0.00110901,0.00110901
3,112.15,0.67252,0.38426,0.80516,0.72879,0.70468,0.71028,0.51744,0.60145,0.37802,0.80816,0.0016592,0.0016592,0.0016592
4,148.634,0.6694,0.38019,0.80535,0.79204,0.71469,0.73905,0.51324,0.6722,0.38178,0.812,0.00165224,0.00165224,0.00165224
5,185.184,0.65191,0.36294,0.80313,0.71055,0.70848,0.69723,0.49706,0.65658,0.3734,0.81119,0.00164082,0.00164082,0.00164082
6,221.502,0.6085,0.33966,0.798,0.83587,0.71353,0.75231,0.53095,0.5846,0.35048,0.80252,0.00162621,0.00162621,0.00162621
7,257.978,0.62167,0.33761,0.79892,0.82196,0.74242,0.76076,0.54586,0.59202,0.34123,0.80734,0.00160847,0.00160847,0.00160847
8,294.475,0.58667,0.32115,0.79681,0.81335,0.71552,0.7493,0.52236,0.64935,0.3835,0.8098,0.00158768,0.00158768,0.00158768
9,342.056,0.60584,0.32896,0.79865,0.76263,0.72242,0.7195,0.52168,0.5781,0.33495,0.80081,0.00156391,0.00156391,0.00156391
10,378.43,0.5894,0.31932,0.79488,0.80621,0.73945,0.76727,0.54565,0.59378,0.3622,0.80436,0.00153726,0.00153726,0.00153726
11,415.285,0.58716,0.31743,0.79573,0.80838,0.72595,0.74594,0.52488,0.62026,0.35838,0.80535,0.00150783,0.00150783,0.00150783
12,451.887,0.57886,0.30841,0.79417,0.80799,0.73244,0.75786,0.54225,0.60116,0.33663,0.80733,0.00147574,0.00147574,0.00147574
13,488.39,0.57192,0.30159,0.79355,0.7923,0.73927,0.76895,0.54283,0.61831,0.3401,0.80657,0.00144112,0.00144112,0.00144112
14,524.761,0.56179,0.3009,0.79444,0.77753,0.74218,0.76158,0.54138,0.61977,0.34976,0.80536,0.0014041,0.0014041,0.0014041
15,561.37,0.55923,0.30382,0.79304,0.75751,0.70241,0.71416,0.49892,0.65944,0.35418,0.80889,0.00136482,0.00136482,0.00136482
16,597.77,0.55328,0.29806,0.79199,0.7869,0.72004,0.7549,0.51008,0.70189,0.35983,0.81136,0.00132345,0.00132345,0.00132345
17,634.159,0.56512,0.30232,0.79197,0.76704,0.72432,0.73394,0.53154,0.57489,0.31582,0.79966,0.00128015,0.00128015,0.00128015
18,670.508,0.53199,0.28832,0.78859,0.78099,0.75665,0.77471,0.55438,0.58353,0.33598,0.80191,0.00123508,0.00123508,0.00123508
19,706.842,0.54179,0.28558,0.78991,0.80023,0.74874,0.77477,0.54698,0.60816,0.33313,0.80271,0.00118843,0.00118843,0.00118843
20,743.217,0.5245,0.27674,0.78835,0.77031,0.75601,0.74396,0.53493,0.61955,0.32696,0.80337,0.00114038,0.00114038,0.00114038
21,779.554,0.52676,0.27806,0.78771,0.75504,0.76313,0.76179,0.54885,0.55706,0.30775,0.79806,0.00109112,0.00109112,0.00109112
22,816.142,0.531,0.27674,0.78884,0.76084,0.74878,0.74426,0.53115,0.6026,0.3311,0.80264,0.00104085,0.00104085,0.00104085
23,852.485,0.51717,0.26952,0.78735,0.77122,0.74231,0.76222,0.55303,0.56969,0.31331,0.80017,0.00098975,0.00098975,0.00098975
24,888.711,0.50879,0.26485,0.78682,0.74995,0.74677,0.74331,0.54924,0.54471,0.30462,0.79742,0.000938038,0.000938038,0.000938038
25,925.151,0.50871,0.26672,0.78762,0.77908,0.74608,0.76921,0.55379,0.58574,0.31354,0.80121,0.000885914,0.000885914,0.000885914
26,961.437,0.50409,0.26422,0.78646,0.7669,0.75931,0.77646,0.54955,0.56059,0.326,0.79951,0.000833583,0.000833583,0.000833583
27,997.75,0.50209,0.26183,0.78613,0.79749,0.74305,0.77825,0.56829,0.55023,0.30839,0.79735,0.000781253,0.000781253,0.000781253
28,1034.25,0.50181,0.26072,0.78658,0.78604,0.73756,0.75468,0.55118,0.57047,0.3094,0.80163,0.000729129,0.000729129,0.000729129
29,1070.64,0.49187,0.25434,0.78429,0.78233,0.72836,0.75099,0.54075,0.57317,0.30351,0.80032,0.000677417,0.000677417,0.000677417
30,1117.88,0.48565,0.24998,0.78435,0.76553,0.75501,0.76082,0.55026,0.5861,0.30385,0.80094,0.000626321,0.000626321,0.000626321
31,1154.27,0.48207,0.24798,0.78389,0.77329,0.7391,0.767,0.55523,0.55943,0.29709,0.7982,0.000576043,0.000576043,0.000576043
32,1190.75,0.48686,0.24814,0.78391,0.7731,0.74774,0.75586,0.55051,0.57048,0.2984,0.7989,0.000526782,0.000526782,0.000526782
33,1227.1,0.47903,0.24412,0.7838,0.77336,0.7516,0.76663,0.54909,0.58037,0.30119,0.80016,0.000478732,0.000478732,0.000478732
34,1263.61,0.47186,0.24208,0.78466,0.80124,0.75177,0.77196,0.55299,0.56816,0.30257,0.79828,0.000432082,0.000432082,0.000432082
35,1300,0.47245,0.24206,0.78289,0.78357,0.74507,0.76427,0.55455,0.53964,0.27877,0.79649,0.000387016,0.000387016,0.000387016
36,1336.45,0.46743,0.23653,0.78214,0.77532,0.73539,0.75581,0.54651,0.56026,0.28794,0.798,0.000343713,0.000343713,0.000343713
37,1372.65,0.46029,0.23274,0.78204,0.75528,0.76,0.7558,0.54982,0.5585,0.29214,0.79761,0.000302344,0.000302344,0.000302344
38,1409.1,0.46015,0.23183,0.78104,0.78464,0.75319,0.77059,0.55518,0.56831,0.2898,0.79875,0.00026307,0.00026307,0.00026307
39,1445.51,0.45552,0.22953,0.78155,0.79425,0.75691,0.77575,0.5585,0.55968,0.28634,0.79744,0.000226049,0.000226049,0.000226049
40,1481.97,0.45382,0.2284,0.78162,0.78388,0.76052,0.77639,0.55308,0.55533,0.28974,0.79793,0.000191425,0.000191425,0.000191425
41,1518.01,0.43313,0.22307,0.7779,0.80149,0.76866,0.78737,0.55648,0.57848,0.29142,0.79999,0.000159335,0.000159335,0.000159335
42,1560.08,0.42652,0.21888,0.77731,0.80305,0.75997,0.78246,0.55954,0.56676,0.29009,0.79819,0.000129906,0.000129906,0.000129906
43,1595.74,0.42193,0.2151,0.77697,0.79487,0.75085,0.77745,0.55869,0.56061,0.28489,0.7984,0.000103255,0.000103255,0.000103255
44,1631.39,0.41695,0.21276,0.77668,0.7911,0.75035,0.77017,0.55689,0.56391,0.28587,0.79812,7.94854e-05,7.94854e-05,7.94854e-05
45,1666.98,0.41246,0.20955,0.77667,0.78363,0.76585,0.78092,0.55866,0.55446,0.28556,0.79753,5.86921e-05,5.86921e-05,5.86921e-05
46,1702.59,0.40855,0.20713,0.77648,0.77966,0.76437,0.78315,0.5607,0.55436,0.28379,0.79724,4.0957e-05,4.0957e-05,4.0957e-05
47,1738.41,0.40866,0.20621,0.77657,0.78694,0.7653,0.77983,0.56218,0.54777,0.28147,0.79664,2.635e-05,2.635e-05,2.635e-05
