epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4187,0.59054,0.35817,0.81039,0.94017,0.63619,0.71216,0.53671,0.60683,0.47579,0.83548,0.000554968,0.000554968,0.000554968
2,111.366,0.59379,0.36495,0.80939,0.93986,0.63713,0.70489,0.51619,0.63071,0.46967,0.84046,0.00109964,0.00109964,0.00109964
3,166.51,0.60258,0.37526,0.81014,0.94684,0.64764,0.70303,0.51881,0.61226,0.43541,0.83469,0.00163331,0.00163331,0.00163331
4,221.197,0.60026,0.36908,0.80958,0.95325,0.64829,0.71056,0.53079,0.57692,0.41855,0.82181,0.00161749,0.00161749,0.00161749
5,275.922,0.59385,0.37052,0.80764,0.94457,0.64962,0.7184,0.53739,0.59715,0.4328,0.82308,0.00160099,0.00160099,0.00160099
6,330.831,0.59072,0.3632,0.80737,0.93913,0.64761,0.71854,0.53565,0.60287,0.43968,0.83621,0.00158448,0.00158448,0.00158448
7,385.21,0.58778,0.363,0.80716,0.94228,0.64084,0.70377,0.52491,0.60146,0.45682,0.83231,0.00156798,0.00156798,0.00156798
8,440.221,0.5809,0.35504,0.80642,0.94585,0.65282,0.72787,0.53099,0.58673,0.4257,0.82432,0.00155148,0.00155148,0.00155148
9,494.295,0.58563,0.36106,0.8065,0.94638,0.6579,0.72252,0.54464,0.60716,0.46093,0.82818,0.00153497,0.00153497,0.00153497
10,549.259,0.57934,0.35677,0.8058,0.9407,0.65086,0.70474,0.52587,0.57679,0.42235,0.82218,0.00151847,0.00151847,0.00151847
11,603.302,0.57584,0.34878,0.80493,0.93798,0.64707,0.71422,0.53215,0.57592,0.43309,0.82095,0.00150197,0.00150197,0.00150197
12,657.874,0.57714,0.35575,0.8057,0.94191,0.64969,0.72373,0.53573,0.57752,0.42363,0.82172,0.00148546,0.00148546,0.00148546
13,712.906,0.56934,0.34695,0.80503,0.95791,0.65005,0.72737,0.55137,0.57545,0.42229,0.82163,0.00146896,0.00146896,0.00146896
14,767.202,0.56764,0.34626,0.80457,0.96346,0.64434,0.70366,0.52477,0.57457,0.42857,0.82288,0.00145246,0.00145246,0.00145246
15,821.831,0.56716,0.34864,0.80464,0.95484,0.65636,0.72681,0.54765,0.56525,0.42432,0.82128,0.00143595,0.00143595,0.00143595
16,876.532,0.5643,0.34832,0.80467,0.94621,0.65203,0.71984,0.54897,0.55998,0.4135,0.81969,0.00141945,0.00141945,0.00141945
17,931.394,0.55868,0.34365,0.80299,0.94749,0.65007,0.74272,0.5557,0.5715,0.42045,0.82243,0.00140295,0.00140295,0.00140295
18,985.988,0.55457,0.33879,0.8019,0.96525,0.65072,0.74201,0.55779,0.58198,0.43405,0.82589,0.00138644,0.00138644,0.00138644
19,1041.65,0.55687,0.34482,0.80282,0.95231,0.65056,0.73525,0.54552,0.58783,0.4367,0.82451,0.00136994,0.00136994,0.00136994
20,1095.85,0.55762,0.34878,0.80351,0.93145,0.65238,0.70923,0.53718,0.56492,0.42447,0.82065,0.00135344,0.00135344,0.00135344
21,1149.79,0.54471,0.33395,0.80102,0.94964,0.64891,0.74527,0.56398,0.56321,0.42628,0.82292,0.00133693,0.00133693,0.00133693
22,1204.75,0.5536,0.3395,0.80246,0.97195,0.65825,0.75325,0.57083,0.56128,0.43248,0.82115,0.00132043,0.00132043,0.00132043
23,1268.24,0.55715,0.34159,0.80228,0.94867,0.65086,0.74571,0.56456,0.57855,0.43332,0.82374,0.00130393,0.00130393,0.00130393
24,1322.7,0.54599,0.34068,0.80139,0.93814,0.65158,0.72547,0.54943,0.57106,0.42984,0.82295,0.00128742,0.00128742,0.00128742
25,1377.75,0.54211,0.3337,0.80152,0.96006,0.65595,0.74176,0.56447,0.5655,0.42359,0.82195,0.00127092,0.00127092,0.00127092
26,1432.49,0.54777,0.33557,0.80098,0.95693,0.65021,0.73158,0.54881,0.57066,0.44181,0.82117,0.00125442,0.00125442,0.00125442
27,1487.33,0.53911,0.33418,0.80151,0.95949,0.6582,0.73907,0.56587,0.54964,0.42842,0.81865,0.00123791,0.00123791,0.00123791
